SubjectN,SubjectID,Age,Edu,Gender,Income,SpeededIP,StrategicIP,Percep,Caution,Discount,senseseek,mindful,emot_cont,impuls,goal_dir,rew_sens,risk_per,eat_cont,ethic_risk,soc_risk,fin_risk,agree,Conservatism,SocialConservatism,EconConservatism,Nationalism,Patriotism,IngroupAttitude,SDO,SJ,Authoritarianism,Dogmatism,IH1,IH2,IH3,IH4,IH_Total,ReligiousAttendance,ReligiousPrayer,ReligionImportance,SECS_Abortion_reversed,SECS_WelfareBen_reversed,SECS_LimitedGovt_Warmth,SECS_MilitaryNationalSecurity_Warmth,SECS_Religion_Warmth,SECS_GunOwnership_Warmth,SECS_TraditionalMarriage_Warmth,SECS_TraditionalValues_Warmth,SECS_FiscalResponsibility_Warmth,SECS_Business_Warmth,SECS_FamilyUnit_Warmth,SECS_Patriotism_Warmth,SECS_ParisAgreement_reversed,SECS_SameSexMarriage_reversed,SECS_Democracy_reversed,SECS_MAGA_Warmth,SECS_RestrictingImmigration_Warmth
1,s557,22,4,0,3,-1.779,-1.568,-0.046,0.228,0.488,-0.572,-1.285,-0.100,-0.121,-0.142,0.462,1.014,0.089,0.290,-0.467,-0.312,-1.766,67,36,31,33,22,24,18,37,3,44,12,17,18,19,66,1,1,1,2,2,7,9,6,3,4,9,9,10,4,2,4,1,2,1,4
2,s348,33,3,0,3,-2.342,-1.703,-0.630,-0.579,1.637,-0.279,0.884,1.033,1.116,0.220,0.869,-0.046,-0.713,0.574,-0.102,2.926,-0.614,120,68,52,41,33,8,27,51,1,38,18,15,25,22,80,4,6,4,6,10,11,11,9,10,11,11,11,10,10,10,10,4,1,8,7
3,s259,28,3,0,2,-1.905,0.734,1.172,-1.217,1.597,1.372,1.280,1.213,-1.343,1.529,1.009,-0.426,-0.355,-0.127,0.400,0.787,0.617,79,44,35,15,35,11,4,23,3,17,25,25,30,26,106,1,1,1,6,1,5,9,3,7,6,3,11,11,8,9,1,6,1,5,6
4,s014,31,1,0,2,-1.356,-1.111,-0.592,-0.030,1.213,-0.412,0.515,-0.131,1.086,-0.321,-0.494,0.030,-0.003,1.862,-1.330,0.404,0.184,82,51,31,33,20,15,18,32,8,41,16,19,20,18,73,1,2,2,11,5,7,6,7,7,7,7,6,6,7,6,5,5,5,6,6
5,s066,29,5,1,4,-0.576,-0.586,0.352,1.190,-0.210,-1.463,1.099,0.340,-1.022,1.140,0.724,0.793,0.717,0.401,0.719,-0.377,1.102,101,68,33,32,15,5,4,25,8,29,20,20,30,17,87,2,7,4,11,5,9,11,11,6,11,7,8,5,11,6,6,1,2,1,5
6,s396,37,7,0,1,1.192,1.266,0.585,-2.005,-1.886,-0.132,0.129,0.287,-0.904,0.808,-2.268,-0.089,0.434,1.008,0.001,0.611,-1.390,62,29,33,14,12,5,10,35,4,42,14,17,22,10,63,1,2,1,2,8,5,4,1,1,8,5,10,9,7,2,2,7,2,1,6
7,s299,38,5,1,4,-1.702,0.185,1.862,0.327,0.332,-0.383,0.551,1.659,1.297,-0.894,1.992,-0.201,-0.599,-1.351,0.889,-0.290,0.109,63,36,27,14,27,5,4,48,1,11,25,25,30,29,109,1,1,1,1,5,6,9,1,1,8,4,8,7,6,7,1,1,1,1,6
8,s168,35,5,1,2,1.773,1.424,-1.056,0.069,0.054,0.133,-0.631,0.737,0.192,-0.451,-0.946,-0.401,-0.105,0.300,0.471,-0.708,-0.636,69,27,42,19,14,6,15,32,4,23,22,20,24,21,87,1,1,1,1,6,6,8,2,11,2,2,11,8,6,6,11,1,2,3,7
9,s495,43,4,1,3,0.199,-0.498,0.757,1.608,-0.653,-0.817,0.363,-0.162,0.707,0.158,-1.200,0.935,-0.106,0.906,-0.142,-0.255,1.173,84,54,30,28,23,10,8,37,5,28,20,20,24,21,85,5,4,4,6,6,5,8,9,4,7,6,7,8,9,9,4,4,2,3,2
10,s076,39,4,1,2,-0.542,-1.625,-0.828,0.381,1.455,0.458,0.319,0.480,1.040,0.415,-0.052,0.692,0.623,-0.325,0.649,-0.012,0.055,75,42,33,33,26,10,4,22,6,19,25,20,24,25,94,3,5,2,6,5,7,2,4,10,6,7,8,3,9,8,3,6,3,1,4
